"DATE"	"CEU0500000002"	"CEU0500000003"	"CNP16OV"	"CPIAUCSL"	"CPILFESL"	"GS1"	"GS10"	"GS5"	"LFWA64TTUSM647S"	"LNU01000000"	"LNU03000000"	"LNU05000000"	"PCEPI"	"PCEPILFE"	"PCETRIM1M158SFRBDAL"	"POPTHM"	"STLPPM"
1971-09-01			140869	40.8	43	5.41	6.14	6.14		84456	4867		20.772	21.633		208230	
1971-10-01			141146	40.9	43.1	4.91	5.93	5.93		84974	4599		20.804	21.667		208450	
1971-11-01			141393	41	43.2	4.67	5.81	5.78		85374	4846		20.847	21.716		208648	
1971-12-01			141666	41.1	43.3	4.6	5.93	5.69		85255	4728		20.929	21.784		208829	
1972-01-01			142736	41.2	43.5	4.28	5.95	5.59		84940	5481		21.015	21.877		208989	
1972-02-01			143017	41.4	43.6	4.27	6.08	5.69		85180	5446		21.098	21.936		209137	
1972-03-01			143263	41.4	43.6	4.67	6.07	5.87		85828	5250		21.128	21.979		209299	
1972-04-01			143483	41.5	43.8	4.96	6.19	6.17		85759	4732		21.16	22.03		209466	
1972-05-01			143760	41.6	43.9	4.64	6.13	5.85		86028	4382		21.207	22.081		209635	
1972-06-01			144033	41.7	44	4.93	6.11	5.91		88540	5467		21.239	22.126		209811	
1972-07-01			144285	41.8	44.1	4.96	6.11	5.97		89127	5216		21.315	22.189		209986	
1972-08-01			144522	41.9	44.3	4.98	6.21	6.02		88894	4901		21.377	22.236		210177	
1972-09-01			144761	42.1	44.3	5.52	6.55	6.25		87242	4705		21.473	22.31		210379	
1972-10-01			144988	42.2	44.4	5.52	6.48	6.18		87741	4518		21.497	22.323		210568	
1972-11-01			145211	42.4	44.4	5.27	6.28	6.12		87548	4317		21.561	22.382		210739	
1972-12-01			145446	42.5	44.6	5.52	6.36	6.16		87593	4169		21.63	22.449		210903	
1973-01-01			145720	42.7	44.6	5.89	6.46	6.34		86327	4730		21.695	22.463		211053	
1973-02-01			145943	43	44.8	6.19	6.64	6.6		87303	4898		21.809	22.534		211187	
1973-03-01			146230	43.4	45	6.85	6.71	6.8		87961	4564		21.964	22.625		211337	
1973-04-01			146459	43.7	45.1	6.85	6.67	6.67		88127	4227		22.127	22.756		211499	
1973-05-01			146719	43.9	45.3	6.89	6.85	6.8		88238	3855		22.236	22.844		211662	
1973-06-01			146981	44.2	45.4	7.31	6.9	6.69		91124	4907		22.363	22.943		211828	
1973-07-01			147233	44.2	45.5	8.39	7.13	7.33		91655	4613		22.444	23.041		212001	
1973-08-01			147471	45	45.7	8.82	7.4	7.63		90888	4273		22.703	23.148		212191	
1973-09-01			147731	45.2	46	8.31	7.09	7.05		89782	4230		22.793	23.265		212382	
1973-10-01			147980	45.6	46.3	7.4	6.79	6.77		90547	3830		22.922	23.355		212555	
1973-11-01			148219	45.9	46.5	7.57	6.73	6.92		90690	4127		23.11	23.468		212710	
1973-12-01			148479	46.3	46.7	7.27	6.74	6.8		90520	4130		23.3	23.598		212859	
1974-01-01			148753	46.8	46.9	7.42	6.99	6.95		89924	5081		23.523	23.714		213003	
1974-02-01			148982	47.3	47.2	6.88	6.96	6.82		90273	5212		23.797	23.865		213143	
1974-03-01			149225	47.8	47.6	7.76	7.21	7.31		90486	4826		24.073	24.051		213286	
1974-04-01			149478	48.1	47.9	8.62	7.51	7.92		90366	4372		24.243	24.231		213437	
1974-05-01			149750	48.6	48.5	8.78	7.58	8.18		90830	4219		24.482	24.464		213600	
1974-06-01			150012	49	49	8.67	7.54	8.1		93481	5459		24.69	24.715		213770	
1974-07-01			150248	49.3	49.5	8.8	7.81	8.38		94238	5341		24.872	24.934		213948	
1974-08-01			150493	49.9	50.2	9.36	8.04	8.63		93446	4967		25.132	25.174		214144	
1974-09-01			150753	50.6	50.7	8.87	8.04	8.37		92449	5287		25.393	25.4		214349	
1974-10-01			151009	51	51.2	8.05	7.9	7.97		92909	5131		25.575	25.599		214538	
1974-11-01			151256	51.5	51.6	7.66	7.68	7.68		92638	5775		25.767	25.786		214704	
1974-12-01			151494	51.9	52	7.31	7.43	7.31		92368	6199		25.971	25.968		214857	
